Time,Time Code,Country Name,Country Code,"Foreign direct investment, net (BoP, current US$) [BN.KLT.DINV.CD]","Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",Net official development assistance and official aid received (current US$) [DT.ODA.ALLD.CD],"Net official flows from UN agencies, IFAD (current US$) [DT.NFL.IFAD.CD]","Net official flows from UN agencies, ILO (current US$) [DT.NFL.ILOG.CD]","Net official flows from UN agencies, UNAIDS (current US$) [DT.NFL.UNAI.CD]","Net official flows from UN agencies, UNFPA (current US$) [DT.NFL.UNFP.CD]","Net official flows from UN agencies, UNICEF (current US$) [DT.NFL.UNCF.CD]","Net official flows from UN agencies, WFP (current US$) [DT.NFL.WFPG.CD]","Net official flows from UN agencies, WHO (current US$) [DT.NFL.WHOL.CD]",Net migration [SM.POP.NETM],GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],GNI per capita growth (annual %) [NY.GNP.PCAP.KD.ZG],GNI (current US$) [NY.GNP.MKTP.CD],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Net trade in goods and services (BoP, current US$) [BN.GSR.GNFS.CD]","Net official flows from UN agencies, UNDP (current US$) [DT.NFL.UNDP.CD]"
2011,YR2011,Afghanistan,AFG,-51036283.61,0.286818267,6740830078,3980000.019,..,..,6309999.943,38450000.76,1320000.052,2059999.943,418796,18190410821,-3.211364296,..,18170576454,..,-4149500356,14670000.08
2011,YR2011,Albania,ALB,-846616681.6,8.135333475,379480011,509999.9905,..,..,610000.0143,750000,..,170000.0018,-24465,12890764531,2.821642455,3.885984118,12894104016,81.21856893,-2932716633,469999.9988
2011,YR2011,Algeria,DZA,-2037319358,1.285534617,193350006.1,..,..,379999.9952,389999.9857,1259999.99,389999.9857,600000.0238,-34829,2.00013E+11,0.964977575,0.232264029,1.97969E+11,67.47430173,17000013501,419999.9869
2011,YR2011,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,-1509,570000000,0.992450746,..,..,157.5438596,..,..
2011,YR2011,Angola,AGO,5116413414,-2.763035293,192940002.4,-769999.9809,..,790000.0215,2309999.943,7610000.134,..,1720000.029,94709,1.09437E+11,-0.347039841,-0.533964909,99943407585,99.98250633,24144210613,2109999.895
2011,YR2011,Argentina,ARG,-9351930945,2.04464008,97050003.05,2579999.924,..,730000.0191,660000.0262,810000.0024,..,..,-1011,5.30163E+11,4.788683139,5.319506191,5.1501E+11,35.206155,9198443050,460000.0083
2011,YR2011,Armenia,ARM,-434138222.4,6.440668367,372989990.2,4710000.038,..,239999.9946,560000.0024,730000.0191,310000.0024,620000.0048,-29214,10142111334,5.319018352,3.943210362,10502184909,69.43557366,-2175629988,1080000.043
2011,YR2011,Azerbaijan,AZE,-932582000,6.800620683,286589996.3,4130000.114,..,219999.9988,709999.9785,850000.0238,..,879999.9952,1688,65951627200,-1.195842962,-3.112803061,61439913891,80.50804501,21331439000,1039999.962
2011,YR2011,Bangladesh,BGD,-967290773.5,0.983166534,1437520020,21590000.15,..,589999.9738,6360000.134,21370000.84,9920000.076,4530000.21,-341152,1.28638E+11,5.174520875,4.955234746,1.38823E+11,47.42084984,-10888026891,16889999.39
2011,YR2011,Belarus,BLR,-3876900000,6.480801966,119800003.1,..,..,239999.9946,449999.9881,670000.0167,..,379999.9952,7578,61757788945,5.625881186,6.370792045,61075328643,157.9742551,-1188200000,250000
2011,YR2011,Belize,BLZ,-94715507.95,5.240369618,20989999.77,289999.9917,..,79999.99821,..,1000000,..,..,1583,1819500000,-2.358493725,0.200086913,1722300000,107.6394614,-5491301.205,360000.0143
2011,YR2011,Benin,BEN,-101574683.5,1.508440504,672609985.4,850000.0238,..,600000.0238,2089999.914,7289999.962,-39999.99911,1070000.052,4278,10693321370,-0.007428192,0.400542873,10677799712,47.21702881,-643106427.2,3859999.895
2011,YR2011,Bhutan,BTN,-31141614.86,1.752382634,118650001.5,2500000,..,59999.99866,1269999.981,1379999.995,519999.9809,1549999.952,-941,1777101317,6.799598004,6.002246662,1663196387,114.4008334,-558990156.8,1330000.043
2011,YR2011,Bolivia,BOL,-858666303.7,3.584442149,545969970.7,970000.0286,..,70000.0003,1710000.038,1519999.981,2099999.905,..,-12107,23963033429,3.453673773,3.815503647,22977277526,82.48039542,345773475.2,1509999.99
2011,YR2011,Bosnia and Herzegovina,BIH,-476436501.7,2.529460858,625780029.3,1690000.057,..,..,469999.9988,1299999.952,..,449999.9881,-64918,18644723861,2.792141415,1.960795884,18794698984,87.83634771,-4434962080,610000.0143
2011,YR2011,Botswana,BWA,-302916735.5,1.940398126,118500000,..,..,730000.0191,1379999.995,850000.0238,..,800000.0119,1301,15110716534,4.717165863,7.698693919,15016122766,98.96146778,-1019051881,469999.9988
